tokens_stemmed,bobot_nilai_total,label
"['dinas', 'komunikasi', 'informatika', 'kominfo', 'provinsi', 'jawa', 'timur', 'gelar', 'podcast', 'siar', 'tema', 'komitmen', 'buka', 'informasi', 'publik', 'kip', 'awal', 'pilih', 'kepala', 'daerah', 'jumat', 'siar', 'hadir', 'narasumber', 'wakil', 'ketua', 'komisi', 'informasi', 'pusat', 'arya']",3,positif
"['pps', 'camat', 'sukomoro', 'bimtek', 'uji', 'coba', 'aplikasi', 'sirekap', 'pilih', 'kepala', 'daerah', 'serentak', 'minggu', 'oktober', 'wib', 'pendopo', 'camat', 'sukomoro', 'kpujatim', 'kpumagetan', 'sukomoropp']",-1,negatif
"['sekretaris', 'kpu', 'provinsi', 'jawa', 'timur', 'nanik', 'karsini', 'jajar', 'berkosentrasi', 'penuh', 'jadwal', 'tahap', 'pilih', 'kepala', 'daerah', 'serentak', 'padat']",1,positif
"['masyarakat', 'bersamasama', 'jaga', 'kondusivitas', 'cipta', 'jawa', 'timur', 'harmonis', 'maju', 'ajak', 'sambut', 'pilih', 'kepala', 'daerah', 'serentak', 'suasana', 'riang', 'gembira', 'guyub', 'rukun', 'neng', 'bareng']",19,positif
"['ketua', 'dprd', 'jatim', 'anik', 'maslachah', 'tema', 'jawa', 'timur', 'satu', 'maju', 'usung', 'ingat', 'provinsi', 'jawa', 'timur', 'ingat', 'hadap', 'pilih', 'kepala', 'daerah', 'serentak']",1,positif
"['pj', 'gubernur', 'jawa', 'timur', 'adhy', 'karyono', 'optimistis', 'jawa', 'timur', 'kondusif', 'pilih', 'kepala', 'daerah', 'serentak', 'adhy', 'sebut', 'masyarakat', 'jatim', 'dewasa', 'sikap', 'beda']",3,positif
"['munggu', 'kpu', 'jatim', 'rutin', 'gelar', 'media', 'gathering', 'update', 'kait', 'tahap', 'pilih', 'kepala', 'daerah', 'serentak', 'salam', 'harap', 'masif', 'informasi', 'disebarluaskan', 'media', 'masyarakat', 'edukasi', 'angka', 'partisipasi', 'pilih', 'jatim']",3,positif
"['sesi', 'laksana', 'kantor', 'diskominfo', 'jatim', 'jalan', 'ahmad', 'yani', 'nomor', 'gayung', 'surabaya', 'jumat', 'oktober', 'nur', 'salam', 'buka', 'informasi', 'kait', 'pilih', 'kepala', 'daerah', 'serentak', 'kpu', 'jatim', 'jalan']",-1,negatif
"['kirab', 'perintah', 'provinsi', 'jatim', 'ajak', 'masyarakat', 'wujud', 'pilih', 'kepala', 'daerah', 'serentak', 'aman', 'damai', 'tentram']",4,positif
"['kepala', 'satpol', 'pulang', 'pergi', 'provinsi', 'jawa', 'timur', 'andik', 'fadjar', 'tjahjono', 'kirab', 'pataka', 'jer', 'basuki', 'mawa', 'beya', 'keliling', 'kabupaten', 'kota', 'jawa', 'timur', 'andik', 'tema', 'usung', 'sigap', 'pilih', 'kepala', 'daerah', 'damai', 'sipadam', 'jatim']",-7,negatif
"['elektabilitas', 'luluk', 'vs', 'khofifah', 'vs', 'risma', 'jelang', 'debat', 'perdana', 'hasil', 'survei', 'pilih', 'kepala', 'daerah', 'jatim', 'tribunkaltim']",7,positif
"['cetak', 'kemarin', 'gin', 'butuh', 'surat', 'suara', 'pilih', 'kepala', 'daerah', 'mojokerto']",-6,negatif
"['elektabilitas', 'luluk', 'vs', 'khofifah', 'vs', 'risma', 'jelang', 'debat', 'perdana', 'hasil', 'survei', 'pilih', 'kepala', 'daerah', 'jatim', 'tribunkaltim']",7,positif
"['debat', 'perdana', 'pilih', 'kepala', 'daerah', 'mojokerto', 'bahas', 'strategi', 'bangun', 'daerah', 'mojokerto', 'debat', 'perdana', 'pilih', 'kepala', 'daerah', 'pilih', 'kepala', 'daerah', 'mojokerto', 'gelar', 'via', 'beritajatimcom']",4,positif
"['komisi', 'pilih', 'kabupaten', 'situbondo', 'jawa', 'timur', 'bekal', 'bimbing', 'teknis', 'panitia', 'mungut', 'suara', 'mekanisme', 'rekapitulasi', 'hitung', 'suara', 'pilih', 'kepala', 'daerah', 'serentak']",9,positif
"['agenda', 'pilih', 'kepala', 'daerah', 'serentak', 'jatim', 'imbas', 'tiada', 'agenda', 'gerak', 'jalan', 'mojosuro', 'minfo', 'kabar', 'mojosuro', 'moga', 'laksana', 'iya']",-7,negatif
"['partai', 'golkar', 'kota', 'surabaya', 'milik', 'unik', 'kampanye', 'pasang', 'calon', 'kepala', 'daerah', 'usung', 'pilih', 'kepala', 'daerah', 'serentak', 'tahana', 'khofifahemil', 'pilgub', 'jatim', 'eriarmuji', 'pilwali', 'surabaya']",8,positif
"['partai', 'golkar', 'kota', 'surabaya', 'milik', 'unik', 'kampanye', 'pasang', 'calon', 'kepala', 'daerah', 'usung', 'pilih', 'kepala', 'daerah', 'serentak', 'tahana', 'khofifahemil', 'pilgub', 'jatim', 'eriarmuji', 'pilwali', 'surabaya']",8,positif
"['dpd', 'partai', 'golkar', 'kota', 'surabaya', 'milik', 'unik', 'kampanye', 'pasang', 'calon', 'kepala', 'daerah', 'usung', 'pilih', 'kepala', 'daerah', 'serentak', 'tahana', 'khofifahemil', 'pilgub', 'jatim', 'eriarmuji', 'pilwali', 'surabaya']",8,positif
"['komisi', 'pilih', 'kpu', 'kabupaten', 'sidoarjo', 'panitia', 'pilih', 'camat', 'ppk', 'uji', 'coba', 'piranti', 'lunak', 'keras', 'proses', 'sistem', 'rekapitulasi', 'suara', 'pilih', 'sirekap', 'pilih', 'kepala', 'daerah']",3,positif
"['ratus', 'kelompok', 'usaha', 'ibuibu', 'rajin', 'anyam', 'tas', 'camat', 'gampengrejo', 'kabupaten', 'diri', 'bina', 'dpc', 'partai', 'demokrat', 'dukung', 'calon', 'gubernur', 'wakil', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'pilih', 'kepala', 'daerah']",-6,negatif
"['rakorwil', 'jatim', 'lita', 'bu', 'khofifah', 'milik', 'histori', 'kuat', 'nasdem', 'nasdem', 'jawa', 'timur', 'panas', 'mesin', 'partai', 'songsong', 'pilih', 'kepala', 'daerah', 'serentak', 'november', 'via', 'beritajatimcom']",0,netral
"['ketua', 'partai', 'nasdem', 'jawa', 'timur', 'lita', 'machfud', 'arifin', 'perintah', 'kader', 'menang', 'pasang', 'calon', 'khofifah', 'indar', 'parawansaemil', 'dardak', 'berkontestasi', 'pilih', 'kepala', 'daerah', 'pilih', 'kepala', 'daerah']",-1,negatif
"['perintah', 'kabupaten', 'pemkab', 'pamekasan', 'jawa', 'timur', 'lindung', 'sosial', 'tenaga', 'awas', 'pilih', 'kepala', 'daerah', 'program', 'jamin', 'celaka', 'kerja', 'jkk', 'jamin', 'mati', 'jkm']",-4,negatif
"['komisi', 'pilih', 'kpu', 'kabupaten', 'lamongan', 'laksana', 'tahap', 'debat', 'publik', 'pasang', 'calon', 'berkontestasi', 'pilih', 'kepala', 'daerah', 'pilih', 'kepala', 'daerah', 'serentak']",7,positif
"['jenis', 'bahan', 'kampanye', 'pilih', 'kepala', 'daerah', 'ponorogo', 'songsong', 'pilih', 'kepala', 'daerah', 'pilih', 'kepala', 'daerah', 'serentak', 'komisi', 'pilih', 'kpu', 'ponorogo', 'sedia', 'bahan', 'kampanye', 'via', 'beritajatimcom']",-2,negatif
"['humaspolresnganjuk', 'kece', 'kendara', 'motor', 'dinas', 'rangka', 'siap', 'aman', 'lantik', 'presiden', 'pilih', 'kepala', 'daerah', 'serentak', 'biro', 'logistik', 'polda', 'jatim']",10,positif
"['anggota', 'kpu', 'jatim', 'insan', 'qoriawan', 'laksana', 'rekapitulasi', 'daftar', 'pilih', 'pilih', 'kepala', 'daerah', 'serentak', 'pilih', 'sebar', 'tps']",-8,negatif
"['ajak', 'generasi', 'muda', 'sambut', 'pilih', 'kepala', 'daerah', 'serentak', 'penuh', 'suka', 'cita', 'penuh', 'damai']",2,positif
"['wisnu', 'generasi', 'muda', 'melek', 'demokrasi', 'ambil', 'peran', 'laksana', 'pilih', 'kepala', 'daerah', 'serentak', 'harap', 'generasi', 'muda', 'didik', 'pilih', 'lingkung', 'masingmasing', 'november', 'masyarakat', 'sedia', 'tps']",-14,negatif
"['sosialisasi', 'tema', 'peran', 'generasi', 'muda', 'songsong', 'pilih', 'kepala', 'daerah', 'serentak', 'kualitas', 'laksana', 'graha', 'sumbangsih', 'upt', 'psbr', 'pamekasan', 'jalan', 'ronggosukowati', 'nomor', 'pademawu', 'kabupaten', 'pamekasan', 'kamis', 'oktober']",-2,negatif
"['teman', 'pilih', 'rangkai', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'pantau', 'website', 'media', 'sosial', 'resmi', 'kpu', 'jatim', 'lupa', 'like', 'komen', 'share', 'iya']",1,positif
"['umam', 'cermat', 'masyarakat', 'hak', 'pilih', 'pilih', 'kepala', 'daerah', 'serentak', 'pilih', 'terima', 'surat', 'suara', 'surat', 'suara', 'pilgub', 'jatim', 'surat', 'suara', 'pilbup', 'sidoarjo']",2,positif
"['anggota', 'kpu', 'jatim', 'choirul', 'umam', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'bagi', 'jalur', 'tuju', 'jangkau', 'lapis', 'masyarakat', 'masingmasing', 'daerah']",-9,negatif
"['komisi', 'pilih', 'provinsi', 'jawa', 'timur', 'kpu', 'jatim', 'hadir', 'serah', 'terima', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'kpu', 'kabupaten', 'pasuruan', 'kpu', 'kabupaten', 'sidoarjo']",2,positif
"['rozaq', 'harap', 'temu', 'kendala', 'tahap', 'kelola', 'logistik', 'pilih', 'kepala', 'daerah', 'serentak']",3,positif
"['rapat', 'koordinasi', 'bahas', 'siap', 'ada', 'dukung', 'lengkap', 'jadwal', 'produksi', 'kirim', 'surat', 'suara', 'pilih', 'kepala', 'daerah', 'serentak', 'sedia', 'gudang', 'logistik', 'kpu', 'kabupaten', 'kota', 'jatim']",11,positif
"['badan', 'awas', 'pilih', 'bawaslu', 'kabupaten', 'sampang', 'jawa', 'timur', 'bentuk', 'tim', 'siber', 'pilih', 'kepala', 'daerah', 'awas', 'kampanye', 'gelar', 'tim', 'pasang', 'calon', 'bupati', 'wakil', 'bupati', 'wilayah']",0,netral
"['dewan', 'pimpin', 'daerah', 'dpd', 'partai', 'golkar', 'surabaya', 'milik', 'dekat', 'unik', 'sentuh', 'hati', 'warga', 'kampanye', 'calon', 'kepala', 'daerah', 'usung', 'pilih', 'kepala', 'daerah', 'pilih', 'kepala', 'daerah', 'serentak']",-4,negatif
"['halo', 'sobat', 'hubung', 'masyarakat', 'ayo', 'simak', 'aman', 'awal', 'distribusi', 'logistik', 'pilih', 'kepala', 'daerah', 'kabupaten', 'nganjuk']",2,positif
"['pilih', 'kepala', 'daerah', 'pasuruan', 'paslon', 'mudah', 'dukung', 'kalang', 'pesantren', 'pasuruan', 'paslon', 'pasang', 'calon', 'bupati', 'wakil', 'bupati', 'pasuruan', 'kh', 'mujib', 'imron', 'via', 'beritajatimcom']",9,positif
"['kece', 'kendara', 'motor', 'dinas', 'rangka', 'siap', 'aman', 'lantik', 'presiden', 'pilih', 'kepala', 'daerah', 'serentak', 'biro', 'logistik', 'polda', 'jatim']",10,positif
"['kece', 'kendara', 'motor', 'dinas', 'rangka', 'siap', 'aman', 'lantik', 'presiden', 'pilih', 'kepala', 'daerah', 'serentak', 'biro', 'logistik', 'polda', 'jatim']",10,positif
"['nebak', 'menang', 'pilih', 'kepala', 'daerah', 'banten', 'airin', 'dki', 'ridwan', 'kamil', 'jateng', 'andika', 'jabar', 'dedy', 'mulyadi', 'jatim', 'khofifah']",3,positif
"['pdip', 'siap', 'acara', 'antisipasi', 'curang', 'pilgub', 'jatim', 'ketua', 'dpp', 'pdip', 'ribka', 'tjiptaning', 'partai', 'acara', 'menggugad', 'curang', 'pilih', 'kepala', 'daerah', 'pilgub', 'jatim']",-9,negatif
"['silaturahmi', 'kapolsek', 'senori', 'polres', 'tuban', 'polda', 'jatim', 'forkopimcam', 'paguyuban', 'pencak', 'silat', 'ajak', 'wujud', 'pilih', 'kepala', 'daerah', 'aman', 'damai', 'divhumaspolri', 'polrestuban', 'polseksenori', 'bidhumasjatim']",1,positif
"['rangka', 'dukung', 'ops', 'mantap', 'praja', 'meru', 'biro', 'logistik', 'polda', 'jatim', 'laksana', 'kece', 'kendara', 'motor', 'dinas', 'aman', 'tahap', 'pilih', 'kepala', 'daerah', 'serentak']",12,positif
"['rangka', 'dukung', 'ops', 'mantap', 'praja', 'meru', 'biro', 'logistik', 'polda', 'jatim', 'laksana', 'kece', 'kendara', 'motor', 'dinas', 'aman', 'tahap', 'pilih', 'kepala', 'daerah', 'serentak']",12,positif
"['halo', 'oktober', 'dprd', 'jatim', 'kpai', 'forkopimda', 'bahas', 'jaga', 'anakanak', 'libat', 'politik', 'pilih', 'kepala', 'daerah', 'anak', 'bebas', 'tumbuh', 'tekan', 'ayo', 'sukses', 'pilih', 'kepala', 'daerah', 'damai', 'aman']",-5,negatif
"['debat', 'paslon', 'pilih', 'kepala', 'daerah', 'mojokerto', 'geber', 'kali', 'catat', 'jadwal']",1,positif
"['surat', 'suara', 'pilih', 'kepala', 'daerah', 'ponorogo', 'antre', 'cetak', 'kpu', 'pasti', 'awal', 'ketat', 'surat', 'suara', 'pilih', 'kepala', 'daerah', 'pilih', 'kepala', 'daerah', 'ponorogo', 'pasuk', 'proses', 'antre', 'cetak', 'ikut', 'via', 'beritajatimcom']",-7,negatif
"['jum', 'at', 'curah', 'hati', 'polsek', 'nonggunong', 'pesanpesan', 'aman', 'tertib', 'masyarakat', 'warga', 'jelang', 'pilih', 'kepala', 'daerah', 'jatim']",3,positif
"['hasil', 'survei', 'popularitas', 'baru', 'pilih', 'kepala', 'daerah', 'jatim', 'khofifah', 'risma', 'laju', 'kencang', 'luluk', 'tribunkaltim']",1,positif
"['pimpin', 'apel', 'pagi', 'kapolsek', 'senori', 'polres', 'tuban', 'polda', 'jatim', 'akp', 'bambang', 'edi', 'nofantoro', 'sh', 'tekan', 'netralitas', 'anggota', 'pilih', 'kepala', 'daerah', 'divhumaspolri', 'polrestuban', 'polseksenori', 'bidhumasjatim']",-9,negatif
"['detikcom', 'beda', 'jago', 'prabowojokowi', 'aproach', 'nya', 'pilih', 'kepala', 'daerah', 'jakarta', 'pilpres', 'personal', 'skill', 'banding', 'bansosduit', 'beda', 'jatengjatim', 'uang', 'dominan']",-2,negatif
"['media', 'gathering', 'bawaslu', 'magetan', 'ajak', 'media', 'awas', 'pilih', 'kepala', 'daerah']",0,netral
"['hasil', 'survei', 'pilih', 'kepala', 'daerah', 'jatim', 'khofifah', 'unggul', 'risma', 'luluk', 'kerek', 'elektabilitas', 'debat', 'tribunkaltim']",4,positif
"['gaes', 'komisi', 'informasi', 'jatim', 'dorong', 'transparansi', 'isu', 'sentral', 'debat', 'pilih', 'kepala', 'daerah', 'serentak']",7,positif
"['teman', 'pilih', 'rangkai', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'pantau', 'website', 'media', 'sosial', 'resmi', 'kpu', 'jatim', 'lupa', 'like', 'komen', 'share', 'iya', 'kpuid']",1,positif
"['anggota', 'kpu', 'jatim', 'eka', 'wisnu', 'wardhana', 'kirab', 'maskot', 'momentum', 'sosialisasi', 'pilih', 'kepala', 'daerah', 'serentak', 'masyarakat', 'berbondongbondong', 'tps', 'november']",4,positif
"['komisi', 'pilih', 'provinsi', 'jawa', 'timur', 'kpu', 'jatim', 'hadir', 'serah', 'terima', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'kpu', 'kota', 'mojokerto', 'kpu', 'kota', 'surabaya']",0,netral
"['kota', 'pasuruan', 'drajat', 'logistik', 'pilih', 'kepala', 'daerah', 'serentak', 'ada', 'tahap', 'kirim', 'gudang', 'simpan', 'ada', 'logistik', 'tahap', 'target', 'selesai', 'november']",-1,negatif
"['yulianto', 'sudrajat', 'tinjau', 'rangka', 'monitoring', 'tahap', 'ada', 'lengkap', 'logistik', 'pilih', 'kepala', 'daerah', 'serentak', 'ada', 'tahap']",2,positif
"['anggota', 'komisi', 'pilih', 'provinsi', 'jawa', 'timur', 'kpu', 'jatim', 'miftahur', 'rozaq', 'damping', 'anggota', 'kpu', 'yulianto', 'sudrajat', 'tinjau', 'gudang', 'logistik', 'pilih', 'kepala', 'daerah', 'serentak', 'kpu', 'kota', 'pasuruan']",-4,negatif
"['salam', 'tekan', 'libat', 'stakeholder', 'kait', 'perangkat', 'desa', 'pasang', 'calon', 'ppk', 'tentu', 'titik', 'pasang', 'apk', 'pilih', 'kepala', 'daerah', 'serentak']",2,positif
"['anggota', 'kpu', 'jatim', 'nur', 'salam', 'jajar', 'kpu', 'kabupaten', 'kota', 'tentu', 'titik', 'pasang', 'alat', 'aga', 'kampanye', 'apk', 'pilih', 'kepala', 'daerah', 'serentak']",-2,negatif
"['halo', 'komisi', 'pilih', 'provinsi', 'jawa', 'timur', 'kpu', 'jatim', 'gelar', 'rapat', 'koordinasi', 'rapat', 'koordinasi', 'tahap', 'kampanye', 'siap', 'debat', 'publik', 'pilih', 'kepala', 'daerah', 'serentak', 'jawa', 'timur']",10,positif
"['anggota', 'kpu', 'jatim', 'miftahur', 'rozaq', 'segmen', 'agama', 'salah', 'segmen', 'perhati', 'selenggara', 'pilih', 'kepala', 'daerah', 'serentak']",-6,negatif
"['komisi', 'pilih', 'provinsi', 'jawa', 'timur', 'kpu', 'jatim', 'gelar', 'sosialisasi', 'didik', 'pilih', 'pilih', 'kepala', 'daerah', 'serentak', 'majelis', 'ulama', 'indonesia', 'mui', 'kabupaten', 'gresik']",5,positif
"['wisnu', 'kpu', 'jatim', 'mitigasi', 'tahap', 'kampanye', 'pilih', 'kepala', 'daerah', 'serentak', 'wisnu', 'kampanye', 'pesta', 'calon', 'kepala', 'wakil', 'kepala', 'daerah', 'dukung']",15,positif
"['anggota', 'komisi', 'pilih', 'provinsi', 'jawa', 'timur', 'kpu', 'jatim', 'eka', 'wisnu', 'wardhana', 'hadir', 'rapat', 'koordinasi', 'rapat', 'koordinasi', 'potensi', 'langgar', 'tahap', 'kampanye', 'pilih', 'kepala', 'daerah', 'selenggara', 'bawaslu', 'kabupaten', 'diri']",4,positif
"['anggota', 'kpu', 'jatim', 'nur', 'salam', 'tema', 'debat', 'publik', 'pilih', 'kepala', 'daerah', 'serentak', 'tetap', 'kpu', 'provinsi', 'jawa', 'timur', 'koordinasi', 'pasang', 'calon', 'partai', 'politik', 'tim', 'kampanye']",7,positif
"['hai', 'komisi', 'pilih', 'provinsi', 'jawa', 'timur', 'kpu', 'jatim', 'gelar', 'rapat', 'koordinasi', 'rapat', 'koordinasi', 'tahap', 'kampanye', 'siap', 'debat', 'publik', 'pilih', 'kepala', 'daerah', 'serentak', 'jawa', 'timur']",12,positif
"['hai', 'komisi', 'pilih', 'provinsi', 'jawa', 'timur', 'kpu', 'jatim', 'gelar', 'rapat', 'koordinasi', 'rapat', 'koordinasi', 'tahap', 'kampanye', 'siap', 'debat', 'publik', 'pilih', 'kepala', 'daerah', 'serentak', 'jawa', 'timur']",12,positif
"['gelar', 'kali', 'jadwal', 'debat', 'pilih', 'kepala', 'daerah', 'jatim']",3,positif
"['dana', 'kampanye', 'cagub', 'cawagub', 'pilgub', 'jatim', 'intip', 'ayo', 'dompet', 'luluk', 'khofifah', 'risma']",11,positif
"['hasil', 'survei', 'pilih', 'kepala', 'daerah', 'jatim', 'khofifah', 'unggul', 'risma', 'luluk', 'kerek', 'elektabilitas', 'debat', 'tribunkaltim']",4,positif
"['ki', 'jatim', 'dorong', 'isu', 'transparansi', 'bahas', 'debat', 'pilih', 'kepala', 'daerah', 'serentak']",7,positif
"['polresta', 'banyuwangi', 'gelar', 'cek', 'kendara', 'motor', 'dinas', 'pasti', 'kesiap', 'aman', 'pilih', 'kepala', 'daerah', 'banyuwangi', 'jelang', 'laksana', 'pilih', 'kepala', 'daerah', 'pilih', 'kepala', 'daerah', 'tim', 'logistik', 'polda', 'jatim', 'damping', 'kapolresta', 'banyuwangi', 'kombes', 'pol', 'rama', 'samtama', 'putra', 'sik', 'msi', 'mh']",-5,negatif
"['pesan', 'aman', 'tertib', 'masyarakat', 'salah', 'anggota', 'kpu', 'provinsi', 'jawa', 'timur', 'pilih', 'kepala', 'daerah', 'aman', 'damai', 'divisihumaspolri']",-8,negatif
"['kampanye', 'pilih', 'kepala', 'daerah', 'masuk', 'bawaslu', 'jatim', 'terima', 'lapor', 'langgar', 'berita', 'lengkap', 'klik', 'link', 'bio', 'sumber', 'media', 'kolaborasi', 'indonesia']",-3,negatif
"['rawan', 'koperasi', 'blitar', 'deklarasi', 'dukung', 'rijantobeky', 'orang', 'mengatasnamakan', 'rawan', 'koperasi', 'kabupaten', 'blitar', 'dukung', 'pasang', 'rijantobeky', 'pilih', 'kepala', 'daerah', 'via', 'beritajatimcom']",-3,negatif
"['anggota', 'kpu', 'jatim', 'miftahur', 'rozaq', 'gelar', 'rapat', 'koordinasi', 'kati', 'usaha', 'cetak', 'sedia', 'surat', 'suara', 'kpu', 'kabupaten', 'kota', 'kait', 'jadwal', 'cetak', 'surat', 'suara', 'pilih', 'kepala', 'daerah', 'serentak']",0,netral
"['komisi', 'pilih', 'provinsi', 'jawa', 'timur', 'kpu', 'jatim', 'hadir', 'rapat', 'koordinasi', 'rapat', 'koordinasi', 'aman', 'awal', 'surat', 'suara', 'pilih', 'kepala', 'daerah', 'serentak', 'gelar', 'polda', 'jatim']",2,positif
"['ayo', 'cari', 'pasang', 'calon', 'kepala', 'daerah', 'berkontestasi', 'provinsi', 'kabupatenkota', 'sejawa', 'timur', 'pilih', 'kepala', 'daerah', 'serentak', 'daftar', 'lengkap', 'teman', 'pilih', 'cek', 'scan', 'barcode', 'postingan', 'iya']",-3,negatif
"['polres', 'gresik', 'ketat', 'aman', 'produksi', 'surat', 'suara', 'jelang', 'pilih', 'kepala', 'daerah', 'gresik', 'jelang', 'pilih', 'kepala', 'daerah', 'serentak', 'polres', 'gresik', 'tingkat', 'aman', 'via', 'beritajatimcom']",4,positif
"['tekan', 'koordinasi', 'kompak', 'kunci', 'tahap', 'pilih', 'kepala', 'daerah', 'serentak', 'laksana']",3,positif
"['tindak', 'bina', 'apel', 'suprapto', 'jajar', 'kpu', 'jatim', 'jaga', 'kompak', 'koordinasi', 'padat', 'tahap', 'pilih', 'kepala', 'daerah', 'serentak']",1,positif
"['insan', 'partisipasi', 'masyarakat', 'pilih', 'kepala', 'daerah', 'serentak', 'tentu', 'nasib', 'jawa', 'timur', 'kabupaten', 'pamekasan']",1,positif
"['komisi', 'pilih', 'provinsi', 'jawa', 'timur', 'kpu', 'jatim', 'gelar', 'sosialisasi', 'didik', 'pilih', 'pilih', 'kepala', 'daerah', 'serentak', 'serikat', 'rawan', 'demokrasi', 'kabupaten', 'pamekasan']",-3,negatif
"['komisi', 'informasi', 'jatim', 'dorong', 'isu', 'transparansi', 'masuk', 'materi', 'debat', 'pilih', 'kepala', 'daerah', 'tahap', 'laksana', 'pilih', 'kepala', 'daerah', 'pilih', 'kepala', 'daerah', 'serentak', 'jawa', 'timur', 'jalan', 'via', 'beritajatimcom']",0,netral
"['jadwal', 'lengkap', 'debat', 'pilih', 'kepala', 'daerah', 'jakarta', 'jabar', 'jatim']",3,positif
"['komisi', 'informasi', 'jatim', 'dorong', 'isu', 'transparansi', 'masuk', 'materi', 'debat', 'pilih', 'kepala', 'daerah']",1,positif
"['komisi', 'informasi', 'jatim', 'dorong', 'isu', 'transparansi', 'masuk', 'materi', 'debat', 'pilih', 'kepala', 'daerah']",1,positif
"['kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'jatim', 'surabaya', 'datang', 'rombong', 'sambut', 'komisioner', 'kpu', 'surabaya']",0,netral
"['elektabilitas', 'khofifah', 'hasil', 'survei', 'pilih', 'kepala', 'daerah', 'jatim', 'peluang', 'risma', 'luluk', 'saing', 'tahana', 'tribunkaltim']",1,positif
"['warga', 'surabaya', 'menang', 'beliau', 'pilih', 'kepala', 'daerah', 'jatim']",-3,negatif
"['aparat', 'polisi', 'kabupaten', 'pamekasan', 'jawa', 'timur', 'ketat', 'aman', 'lokasi', 'rawan', 'teror', 'jelang', 'laksana', 'pilih', 'kepala', 'daerah', 'serentak']",-12,negatif
"['masyarakat', 'surabaya', 'menang', 'pasang', 'khofifahemil', 'pilih', 'kepala', 'daerah', 'jatim']",1,positif
"['bu', 'khofifah', 'menang', 'pilih', 'kepala', 'daerah', 'jatim']",-3,negatif
"['anggota', 'badan', 'awas', 'pilih', 'bawaslu', 'ri', 'totok', 'hariyono', 'awas', 'pilih', 'panwaslu', 'pilih', 'kepala', 'daerah', 'sombong', 'tegak', 'atur']",-13,negatif
"['cagub', 'jatim', 'nomor', 'urut', 'khofifah', 'rawan', 'daerah', 'turun', 'ajak', 'masyarakat', 'hak', 'pilih', 'pilih', 'kepala', 'daerah', 'serentak']",-7,negatif
"['komisioner', 'divisi', 'sosialisasi', 'didik', 'pilih', 'partisipasi', 'masyarakat', 'sdm', 'komisi', 'pilih', 'kpu', 'kota', 'malang', 'jawa', 'timur', 'fitria', 'yuliani', 'enam', 'tema', 'serta', 'laksana', 'debat', 'pilih', 'kepala', 'daerah', 'pilih', 'kepala', 'daerah']",-3,negatif
"['komisi', 'pilih', 'kpu', 'kota', 'malang', 'jawa', 'timur', 'rapat', 'kampanye', 'akbar', 'pasang', 'calon', 'wali', 'kota', 'wakil', 'wali', 'kota', 'pilih', 'kepala', 'daerah', 'pilih', 'kepala', 'daerah', 'maksimal', 'wib']",-3,negatif
"['kapolda', 'jatim', 'lepas', 'berangkat', 'bakti', 'sosial', 'meru', 'overland', 'rangka', 'cooling', 'system', 'pilih', 'kepala', 'daerah', 'laksana', 'lapang', 'mapolda', 'jatim', 'minggu', 'oktober']",3,positif
"['civitas', 'akademika', 'iainu', 'tuban', 'ajak', 'mahasiswa', 'peran', 'aktif', 'pilih', 'kepala', 'daerah']",-2,negatif
"['unik', 'tarik', 'pilih', 'kepala', 'daerah', 'jatim', 'calon', 'gubernur', 'tarung', 'perempuan', 'dominasi', 'srikandi', 'pilih', 'kepala', 'daerah', 'jatim', 'layak', 'catat', 'muri']",-4,negatif
"['sabtu', 'oktober', 'pps', 'desa', 'kedungguwo', 'tempel', 'umum', 'tetap', 'hasil', 'seleksi', 'calon', 'anggota', 'kpps', 'pilih', 'kepala', 'daerah', 'kpujatim', 'kpumagetan', 'sukomoropp']",2,positif
"['teman', 'pilih', 'rangkai', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'pantau', 'website', 'media', 'sosial', 'resmi', 'kpu', 'jatim', 'lupa', 'like', 'komen', 'share', 'iya']",1,positif
"['pilih', 'kepala', 'daerah', 'serentak', 'momen', 'harga', 'menit', 'tentu', 'nasib', 'kota', 'mojokerto']",0,netral
"['anggota', 'kpu', 'jatim', 'eka', 'wisnu', 'wardhana', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'salah', 'sarana', 'sosialisasi', 'pilih', 'sedia', 'hak', 'pilih', 'november']",-5,negatif
"['komisi', 'pilih', 'provinsi', 'jawa', 'timur', 'kpu', 'jatim', 'hadir', 'serah', 'terima', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'kpu', 'kabupaten', 'mojokerto', 'kpu', 'kota', 'mojokerto']",1,positif
"['kpu', 'jatim', 'rutin', 'gelar', 'media', 'gathering', 'minggu', 'update', 'kait', 'pilih', 'kepala', 'daerah', 'serentak', 'teman', 'pilih', 'jalan', 'sarasehan', 'ayo', 'simak', 'postingan']",4,positif
