tokens_stemmed,bobot_nilai_total,label,tokens_stemmed_string,Prediksi_Naive_Bayes,Probabilitas_NB,Prediksi_Logistic_Regression,Probabilitas_LR
"['anggota', 'kpu', 'jatim', 'nur', 'salam', 'rangkai', 'kirab', 'maskot', 'sosialisasi', 'didik', 'pilih', 'selenggara', 'pilih', 'kepala', 'daerah', 'serentak', 'jatim']",-5,negatif,anggota kpu jatim nur salam rangkai kirab maskot sosialisasi didik pilih selenggara pilih kepala daerah serentak jatim,negatif,63.33%,negatif,58.35%
"['sumbang', 'juta', 'suara', 'brigade', 'bunda', 'deklarasi', 'dukung', 'penuh', 'khofifahemil', 'pilih', 'kepala', 'daerah', 'jatim', 'wujud', 'jawa', 'timur', 'maju', 'prestasi']",-2,negatif,sumbang juta suara brigade bunda deklarasi dukung penuh khofifahemil pilih kepala daerah jatim wujud jawa timur maju prestasi,negatif,55.27%,positif,33.98%
"['keren', 'puncak', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'jatim', 'tugu', 'pahlawan', 'pecah', 'rekor', 'muri']",-5,negatif,keren puncak kirab maskot pilih kepala daerah jatim tugu pahlawan pecah rekor muri,negatif,73.70%,negatif,66.25%
"['kuda', 'kapal', 'siap', 'distribusi', 'logistik', 'pilih', 'kepala', 'daerah', 'serentak', 'jatim']",2,positif,kuda kapal siap distribusi logistik pilih kepala daerah serentak jatim,positif,77.96%,positif,60.57%
"['kpu', 'jember', 'terima', 'logistik', 'pilih', 'kepala', 'daerah', 'serentak', 'juta', 'surat', 'suara', 'pilgub', 'pilbup']",6,positif,kpu jember terima logistik pilih kepala daerah serentak juta surat suara pilgub pilbup,positif,59.08%,positif,49.74%
"['debat', 'publik', 'perdana', 'pilih', 'kepala', 'daerah', 'jember', 'imbau', 'kpu']",1,positif,debat publik perdana pilih kepala daerah jember imbau kpu,positif,76.78%,positif,51.10%
"['ormas', 'madas', 'dukung', 'penuh', 'pilih', 'kepala', 'daerah', 'damai', 'jatim', 'ormas', 'madas', 'dukung', 'penuh', 'pilih', 'kepala', 'daerah', 'jatim', 'diri', 'posko', 'damai', 'surabaya', 'madas', 'polda', 'jatim', 'komitmen', 'cipta', 'via', 'beritajatimcom']",3,positif,ormas madas dukung penuh pilih kepala daerah damai jatim ormas madas dukung penuh pilih kepala daerah jatim diri posko damai surabaya madas polda jatim komitmen cipta via beritajatimcom,negatif,55.25%,negatif,47.94%
"['kholilurrahman', 'ajak', 'masyarakat', 'sukses', 'pilih', 'kepala', 'daerah', 'pamekasan', 'kh', 'kholilurrahman', 'calon', 'bupati', 'pamekasan', 'ajak', 'masyarakat', 'jaga', 'budaya', 'santun', 'damai', 'jelang', 'pilih', 'kepala', 'daerah', 'via', 'beritajatimcom']",5,positif,kholilurrahman ajak masyarakat sukses pilih kepala daerah pamekasan kh kholilurrahman calon bupati pamekasan ajak masyarakat jaga budaya santun damai jelang pilih kepala daerah via beritajatimcom,positif,56.31%,positif,57.39%
"['elektabilitas', 'risma', 'kejar', 'khofifah', 'hasil', 'survei', 'pilih', 'kepala', 'daerah', 'jatim', 'debat', 'naik', 'tipis', 'tribunkaltim']",2,positif,elektabilitas risma kejar khofifah hasil survei pilih kepala daerah jatim debat naik tipis tribunkaltim,positif,74.94%,positif,58.67%
"['pilih', 'kepala', 'daerah', 'jatim', 'abai', 'isu', 'lingkung', 'hidup', 'komisi', 'pilih', 'kpu', 'jawa', 'timur', 'tetap', 'kali', 'debat', 'tema', 'cakup', 'didik', 'sehat', 'duduk', 'daulat', 'pangan', 'ekonomi', 'infrastruktur', 'hukum', 'ham']",6,positif,pilih kepala daerah jatim abai isu lingkung hidup komisi pilih kpu jawa timur tetap kali debat tema cakup didik sehat duduk daulat pangan ekonomi infrastruktur hukum ham,positif,84.18%,positif,68.99%
"['cawagub', 'nomor', 'urut', 'kh', 'zahrul', 'azhar', 'asumta', 'sambang', 'bondowoso', 'tim', 'rawan', 'target', 'raih', 'menang', 'persen', 'pilih', 'kepala', 'daerah', 'jatim', 'bondowoso']",-6,negatif,cawagub nomor urut kh zahrul azhar asumta sambang bondowoso tim rawan target raih menang persen pilih kepala daerah jatim bondowoso,negatif,80.71%,negatif,68.46%
"['silaturahmi', 'ketua', 'psht', 'ranting', 'senori', 'kapolsek', 'senori', 'polres', 'tuban', 'polda', 'jatim', 'akp', 'bambang', 'edi', 'nofantoro', 'pesan', 'pilih', 'kepala', 'daerah', 'aman', 'damai', 'divhumaspolri', 'polrestuban', 'polseksenori', 'bidhumasjatim']",-3,negatif,silaturahmi ketua psht ranting senori kapolsek senori polres tuban polda jatim akp bambang edi nofantoro pesan pilih kepala daerah aman damai divhumaspolri polrestuban polseksenori bidhumasjatim,negatif,89.89%,negatif,68.34%
"['elektabilitas', 'risma', 'kejar', 'khofifah', 'hasil', 'survei', 'pilih', 'kepala', 'daerah', 'jatim', 'debat', 'naik', 'tipis']",2,positif,elektabilitas risma kejar khofifah hasil survei pilih kepala daerah jatim debat naik tipis,positif,76.45%,positif,59.10%
"['elektabilitas', 'risma', 'kejar', 'khofifah', 'hasil', 'survei', 'pilih', 'kepala', 'daerah', 'jatim', 'debat', 'naik', 'tipis', 'tribunkaltim']",2,positif,elektabilitas risma kejar khofifah hasil survei pilih kepala daerah jatim debat naik tipis tribunkaltim,positif,74.94%,positif,58.67%
"['aman', 'ketat', 'logistik', 'pilih', 'kepala', 'daerah', 'serentak', 'tuban', 'cctv', 'personel', 'siaga', 'jam', 'nonstop']",-2,negatif,aman ketat logistik pilih kepala daerah serentak tuban cctv personel siaga jam nonstop,negatif,59.33%,negatif,47.50%
"['polda', 'jatim', 'kawal', 'aman', 'distribusi', 'surat', 'suara', 'pilih', 'kepala', 'daerah', 'beritakisahnyatacom', 'akurat', 'imbang', 'percaya']",2,positif,polda jatim kawal aman distribusi surat suara pilih kepala daerah beritakisahnyatacom akurat imbang percaya,positif,50.18%,positif,42.15%
"['panelis', 'kawal', 'debat', 'perdana', 'pilih', 'kepala', 'daerah', 'kota', 'mojokerto']",-1,negatif,panelis kawal debat perdana pilih kepala daerah kota mojokerto,negatif,50.75%,negatif,44.39%
"['kpu', 'blitar', 'tegas', 'profesional', 'netral', 'pilih', 'kepala', 'daerah', 'ketua', 'komisi', 'pilih', 'kpu', 'kabupaten', 'blitar', 'sugino', 'komitmen', 'jaga', 'netralitas', 'via', 'beritajatimcom']",-2,negatif,kpu blitar tegas profesional netral pilih kepala daerah ketua komisi pilih kpu kabupaten blitar sugino komitmen jaga netralitas via beritajatimcom,negatif,71.94%,negatif,57.77%
"['hadiah', 'motor', 'sepeda', 'pilih', 'pilih', 'kepala', 'daerah']",-3,negatif,hadiah motor sepeda pilih pilih kepala daerah,negatif,65.00%,negatif,74.09%
"['doorstop', 'ganggu', 'aman', 'tertib', 'masyarakat', 'jelang', 'pilih', 'kepala', 'daerah', 'wilayah', 'jawa', 'timur', 'divisihumaspolri']",-1,negatif,doorstop ganggu aman tertib masyarakat jelang pilih kepala daerah wilayah jawa timur divisihumaspolri,positif,51.63%,positif,46.92%
"['kapolda', 'pj', 'gubernur', 'jatim', 'tinjau', 'kesiap', 'surat', 'suara', 'pilih', 'kepala', 'daerah', 'gresik', 'jelang', 'laksana', 'pilih', 'kepala', 'daerah', 'serentak', 'gelar', 'siap', 'logistik', 'via', 'beritajatimcom']",6,positif,kapolda pj gubernur jatim tinjau kesiap surat suara pilih kepala daerah gresik jelang laksana pilih kepala daerah serentak gelar siap logistik via beritajatimcom,positif,65.01%,positif,52.55%
"['kpu', 'pasuruan', 'gelar', 'bimtek', 'jelang', 'pilih', 'teknis', 'mungut', 'suara', 'nanti', 'komisi', 'pilih', 'kpu', 'kabupaten', 'pasuruan', 'gelar', 'bimbing', 'teknis', 'bimtek', 'mungut', 'via', 'beritajatimcom']",1,positif,kpu pasuruan gelar bimtek jelang pilih teknis mungut suara nanti komisi pilih kpu kabupaten pasuruan gelar bimbing teknis bimtek mungut via beritajatimcom,positif,63.28%,positif,65.10%
"['sarasehan', 'media', 'jajar', 'polda', 'jatim', 'sinergitas', 'polri', 'media', 'jaga', 'kondusifitas', 'aman', 'tertib', 'masyarakat', 'laksana', 'pilih', 'kepala', 'daerah', 'jawa', 'timur', 'nndivisihumaspolrinn']",-1,negatif,sarasehan media jajar polda jatim sinergitas polri media jaga kondusifitas aman tertib masyarakat laksana pilih kepala daerah jawa timur nndivisihumaspolrinn,negatif,72.87%,negatif,50.87%
"['kapolda', 'jatim', 'ikut', 'rapat', 'koordinasi', 'kesiap', 'lanjut', 'monitoring', 'logistik', 'cetak', 'surat', 'suara', 'pilih', 'kepala', 'daerah', 'serentak', 'kpu', 'provinsi', 'forkopimda', 'jatim', 'kamis', 'oktober', 'divisihumaspolri']",-5,negatif,kapolda jatim ikut rapat koordinasi kesiap lanjut monitoring logistik cetak surat suara pilih kepala daerah serentak kpu provinsi forkopimda jatim kamis oktober divisihumaspolri,negatif,53.58%,negatif,38.84%
"['harap', 'kirab', 'maskot', 'banding', 'lurus', 'tingkat', 'partisipasi', 'masyarakat', 'pilih', 'kepala', 'daerah', 'serentak', 'jawa', 'timur']",9,positif,harap kirab maskot banding lurus tingkat partisipasi masyarakat pilih kepala daerah serentak jawa timur,positif,85.35%,positif,72.80%
"['ketua', 'kpu', 'jatim', 'aang', 'naif', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'jawa', 'timur', 'juli', 'oktober', 'aang', 'kirab', 'gelar', 'kreativitas', 'kpu', 'jatim', 'dukung', 'kpu', 'kabupaten', 'kota', 'sosialisasi', 'pilih', 'kepala', 'daerah', 'serentak']",11,positif,ketua kpu jatim aang naif kirab maskot pilih kepala daerah serentak jawa timur juli oktober aang kirab gelar kreativitas kpu jatim dukung kpu kabupaten kota sosialisasi pilih kepala daerah serentak,positif,90.74%,positif,69.40%
"['komisi', 'pilih', 'provinsi', 'jawa', 'timur', 'kpu', 'jatim', 'gelar', 'media', 'briefing', 'siap', 'puncak', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'sejawa', 'timur']",2,positif,komisi pilih provinsi jawa timur kpu jatim gelar media briefing siap puncak kirab maskot pilih kepala daerah serentak sejawa timur,positif,89.06%,positif,70.86%
"['tular', 'nalar', 'x', 'upn', 'veteran', 'jatim', 'wujud', 'generasi', 'fasih', 'demokrasi', 'jelang', 'pilih', 'kepala', 'daerah']",-4,negatif,tular nalar x upn veteran jatim wujud generasi fasih demokrasi jelang pilih kepala daerah,negatif,60.09%,negatif,45.42%
"['mustasyar', 'urus', 'nahdhatul', 'ulama', 'pbnu', 'periode', 'kh', 'aqil', 'siradj', 'urus', 'tingkata', 'bawa', 'lembaga', 'dukung', 'salah', 'pasang', 'calon', 'pilih', 'kepala', 'daerah', 'pilih', 'kepala', 'daerah']",-2,negatif,mustasyar urus nahdhatul ulama pbnu periode kh aqil siradj urus tingkata bawa lembaga dukung salah pasang calon pilih kepala daerah pilih kepala daerah,negatif,69.77%,negatif,57.75%
"['visitasi', 'awas', 'kip', 'pilih', 'kepala', 'daerah', 'sultra', 'sama', 'aceh', 'babel', 'jatim', 'visitasi', 'awas', 'buka', 'informasi', 'publik', 'pilih', 'kepala', 'daerah', 'serempak', 'daerah', 'rawan', 'laksana', 'sulawesi', 'tenggara']",-2,negatif,visitasi awas kip pilih kepala daerah sultra sama aceh babel jatim visitasi awas buka informasi publik pilih kepala daerah serempak daerah rawan laksana sulawesi tenggara,negatif,73.41%,negatif,75.45%
"['visitasi', 'awas', 'kip', 'pilih', 'kepala', 'daerah', 'jatim', 'giat', 'selenggara', 'oktober', 'tim', 'ki', 'pusat', 'sambang', 'kpu', 'kabupaten', 'sampang', 'kumpul', 'fakta', 'kait', 'awas', 'laksana', 'buka', 'informasi', 'publik', 'pilih', 'kepala', 'daerah', 'jatim']",-1,negatif,visitasi awas kip pilih kepala daerah jatim giat selenggara oktober tim ki pusat sambang kpu kabupaten sampang kumpul fakta kait awas laksana buka informasi publik pilih kepala daerah jatim,negatif,68.51%,negatif,65.00%
"['debat', 'paslon', 'pilih', 'kepala', 'daerah', 'ponorogo', 'upaya', 'tingkat', 'literasi', 'politik', 'masyarakat', 'debat', 'publik', 'serta', 'pilih', 'kepala', 'daerah', 'pilih', 'kepala', 'daerah', 'ponorogo', 'rabu', 'malam', 'via', 'beritajatimcom']",-2,negatif,debat paslon pilih kepala daerah ponorogo upaya tingkat literasi politik masyarakat debat publik serta pilih kepala daerah pilih kepala daerah ponorogo rabu malam via beritajatimcom,negatif,55.75%,negatif,62.53%
"['tular', 'nalar', 'x', 'upn', 'veteran', 'jatim', 'wujud', 'generasi', 'fasih', 'demokrasi', 'jelang', 'pilih', 'kepala', 'daerah']",-4,negatif,tular nalar x upn veteran jatim wujud generasi fasih demokrasi jelang pilih kepala daerah,negatif,60.09%,negatif,45.42%
"['sarasehan', 'media', 'jajar', 'polda', 'jatim', 'sinergitas', 'polri', 'media', 'jaga', 'kondusifitas', 'aman', 'tertib', 'masyarakat', 'laksana', 'pilih', 'kepala', 'daerah', 'jawa', 'timur', 'jamin', 'lancar', 'demokrasi']",-4,negatif,sarasehan media jajar polda jatim sinergitas polri media jaga kondusifitas aman tertib masyarakat laksana pilih kepala daerah jawa timur jamin lancar demokrasi,negatif,73.22%,negatif,51.19%
"['komisi', 'pilih', 'provinsi', 'jawa', 'timur', 'kpu', 'jatim', 'gelar', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'sejawa', 'timur']",4,positif,komisi pilih provinsi jawa timur kpu jatim gelar kirab maskot pilih kepala daerah serentak sejawa timur,positif,89.95%,positif,70.64%
"['deklarasi', 'pilih', 'kepala', 'daerah', 'damai', 'polri', 'tni', 'selenggara', 'pesta', 'demokrasi', 'unsur', 'elemen', 'masyarakat', 'harap', 'laksana', 'pilih', 'kepala', 'daerah', 'serentak', 'adil', 'jujur', 'damai']",7,positif,deklarasi pilih kepala daerah damai polri tni selenggara pesta demokrasi unsur elemen masyarakat harap laksana pilih kepala daerah serentak adil jujur damai,positif,63.22%,positif,58.28%
"['polda', 'jatim', 'cek', 'layak', 'almatsus', 'kendara', 'motor', 'polres', 'ngawi', 'jelang', 'pilih', 'kepala', 'daerah']",-5,negatif,polda jatim cek layak almatsus kendara motor polres ngawi jelang pilih kepala daerah,positif,59.43%,positif,44.79%
"['tri', 'risma', 'sapa', 'dagang', 'kaki', 'jual', 'lapang', 'gulun', 'kampanye', 'kota', 'madiun', 'pkl', 'risma', 'janji', 'nembawa', 'kelas', 'menang', 'pilih', 'kepala', 'daerah', 'jatim', 'mantan', 'wali', 'kota', 'surabaya', 'pkl', 'umkm', 'tata']",-3,negatif,tri risma sapa dagang kaki jual lapang gulun kampanye kota madiun pkl risma janji nembawa kelas menang pilih kepala daerah jatim mantan wali kota surabaya pkl umkm tata,negatif,85.37%,negatif,63.75%
"['sarasehan', 'media', 'jajar', 'polda', 'jatim', 'sinergitas', 'polri', 'media', 'jaga', 'kondusifitas', 'aman', 'tertib', 'masyarakat', 'laksana', 'pilih', 'kepala', 'daerah', 'jawa', 'timur', 'divisihumaspolri']",-1,negatif,sarasehan media jajar polda jatim sinergitas polri media jaga kondusifitas aman tertib masyarakat laksana pilih kepala daerah jawa timur divisihumaspolri,negatif,71.61%,negatif,52.10%
"['rawan', 'khofifahemil', 'sedia', 'kopi', 'gratis', 'warung', 'kopi', 'bolo', 'khofifah', 'letak', 'kawasan', 'perak', 'surabaya', 'tebal', 'menang', 'pasang', 'pilih', 'kepala', 'daerah', 'pilih', 'kepala', 'daerah']",-3,negatif,rawan khofifahemil sedia kopi gratis warung kopi bolo khofifah letak kawasan perak surabaya tebal menang pasang pilih kepala daerah pilih kepala daerah,negatif,62.14%,negatif,58.22%
"['sambang', 'warga', 'anggota', 'polmas', 'polsek', 'senori', 'polres', 'tuban', 'laksana', 'sosialisasi', 'pilih', 'kepala', 'daerah', 'aman', 'damai', 'warga', 'desa', 'kaligede', 'divhumaspolri', 'polrestuban', 'polseksenori', 'bidhumasjatim']",-3,negatif,sambang warga anggota polmas polsek senori polres tuban laksana sosialisasi pilih kepala daerah aman damai warga desa kaligede divhumaspolri polrestuban polseksenori bidhumasjatim,negatif,86.01%,negatif,68.40%
"['sinergitas', 'polres', 'media', 'jajar', 'polda', 'jatim', 'jaga', 'kondusifitas', 'aman', 'tertib', 'masyarakat', 'laksana', 'pilih', 'kepala', 'daerah']",-1,negatif,sinergitas polres media jajar polda jatim jaga kondusifitas aman tertib masyarakat laksana pilih kepala daerah,negatif,77.06%,negatif,60.18%
"['kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'riah', 'kpu', 'jatim', 'masyarakat', 'tps', 'kpu', 'jatim', 'puncak', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'surabaya', 'ajak', 'masyarakat', 'sukses', 'pilih', 'kepala', 'daerah', 'via', 'beritajatimcom']",1,positif,kirab maskot pilih kepala daerah riah kpu jatim masyarakat tps kpu jatim puncak kirab maskot pilih kepala daerah serentak surabaya ajak masyarakat sukses pilih kepala daerah via beritajatimcom,positif,67.41%,positif,54.92%
"['riah', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'jatim', 'kirab', 'keliling', 'surabaya']",4,positif,riah maskot pilih kepala daerah serentak jatim kirab keliling surabaya,positif,68.87%,positif,54.27%
"['sinergitas', 'polres', 'media', 'jajar', 'polda', 'jatim', 'jaga', 'kondusifitas', 'aman', 'tertib', 'masyarakat', 'laksana', 'pilih', 'kepala', 'daerah']",-1,negatif,sinergitas polres media jajar polda jatim jaga kondusifitas aman tertib masyarakat laksana pilih kepala daerah,negatif,77.06%,negatif,60.18%
"['sinergitas', 'polres', 'media', 'jajar', 'polda', 'jatim', 'jaga', 'kondusifitas', 'aman', 'tertib', 'masyarakat', 'laksana', 'pilih', 'kepala', 'daerah']",-1,negatif,sinergitas polres media jajar polda jatim jaga kondusifitas aman tertib masyarakat laksana pilih kepala daerah,negatif,77.06%,negatif,60.18%
"['sinergitas', 'polres', 'media', 'jajar', 'polda', 'jatim', 'jaga', 'kondusifitas', 'aman', 'tertib', 'masyarakat', 'laksana', 'pilih', 'kepala', 'daerah']",-1,negatif,sinergitas polres media jajar polda jatim jaga kondusifitas aman tertib masyarakat laksana pilih kepala daerah,negatif,77.06%,negatif,60.18%
"['kabagops', 'polrestabes', 'surabaya', 'pimpin', 'laksana', 'apel', 'gabung', 'rangka', 'kesiap', 'aman', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'jawa', 'timur', 'rabu', 'oktober', 'kantor', 'gubernur', 'jawa', 'timur', 'divisihumaspolri']",-4,negatif,kabagops polrestabes surabaya pimpin laksana apel gabung rangka kesiap aman kirab maskot pilih kepala daerah serentak jawa timur rabu oktober kantor gubernur jawa timur divisihumaspolri,positif,60.96%,positif,51.62%
"['bawaslu', 'kota', 'mojokerto', 'peta', 'potensi', 'rawan', 'dpph', 'pilih', 'kepala', 'daerah', 'bawaslu', 'kota', 'mojokerto', 'meta', 'potensi', 'rawan', 'awas', 'susun', 'dpph', 'buka', 'posko', 'kawal', 'hak', 'pilih', 'via', 'beritajatimcom']",-10,negatif,bawaslu kota mojokerto peta potensi rawan dpph pilih kepala daerah bawaslu kota mojokerto meta potensi rawan awas susun dpph buka posko kawal hak pilih via beritajatimcom,negatif,87.32%,negatif,73.85%
"['badan', 'awas', 'pilih', 'bawaslu', 'sentra', 'gakkumdu', 'kabupaten', 'situbondo', 'jawa', 'timur', 'proses', 'duga', 'tindak', 'pidana', 'langgar', 'netralitas', 'oknum', 'kepala', 'desa', 'ajak', 'dukung', 'salah', 'pasang', 'calon', 'serta', 'pilih', 'kepala', 'daerah']",4,positif,badan awas pilih bawaslu sentra gakkumdu kabupaten situbondo jawa timur proses duga tindak pidana langgar netralitas oknum kepala desa ajak dukung salah pasang calon serta pilih kepala daerah,positif,54.05%,positif,56.03%
"['polisi', 'netral', 'pilih', 'kepala', 'daerah', 'kondusifitas', 'divhumaspolri', 'humaspoldajatim', 'listyosigitp', 'prabowo', 'bawasluri', 'bawaslujatim', 'bawaslusampang']",-2,negatif,polisi netral pilih kepala daerah kondusifitas divhumaspolri humaspoldajatim listyosigitp prabowo bawasluri bawaslujatim bawaslusampang,negatif,53.15%,negatif,51.68%
"['harap', 'santri', 'milik', 'hak', 'pilih', 'salur', 'hak', 'suara', 'pilih', 'kepala', 'daerah', 'eka']",1,positif,harap santri milik hak pilih salur hak suara pilih kepala daerah eka,negatif,66.21%,negatif,54.64%
"['ketua', 'kpu', 'mochammad', 'afifuddin', 'tekan', 'logistik', 'instrumen', 'selenggara', 'pilih', 'kepala', 'daerah', 'serentak']",2,positif,ketua kpu mochammad afifuddin tekan logistik instrumen selenggara pilih kepala daerah serentak,positif,73.33%,positif,67.43%
"['aman', 'debat', 'perdana', 'pilih', 'kepala', 'daerah', 'polres', 'ponorogo', 'kerah', 'ratus', 'personel', 'polres', 'ponorogo', 'kerah', 'ratus', 'personel', 'gabung', 'aman', 'debat', 'perdana', 'pilih', 'kepala', 'daerah', 'via', 'beritajatimcom']",-3,negatif,aman debat perdana pilih kepala daerah polres ponorogo kerah ratus personel polres ponorogo kerah ratus personel gabung aman debat perdana pilih kepala daerah via beritajatimcom,negatif,59.13%,negatif,46.71%
"['pj', 'gubernur', 'jatim', 'optimistis', 'pilih', 'kepala', 'daerah', 'serentak', 'aman', 'damai', 'raffi', 'ahmad', 't', 'pecat', 'atletico', 'madrid', 'agus', 'cat', 'indomie', 'awan', 'jaemin', 'at', 'gucci', 'exhibition']",-4,negatif,pj gubernur jatim optimistis pilih kepala daerah serentak aman damai raffi ahmad t pecat atletico madrid agus cat indomie awan jaemin at gucci exhibition,positif,68.99%,positif,54.72%
"['pj', 'gubernur', 'jatim', 'optimistis', 'pilih', 'kepala', 'daerah', 'serentak', 'aman', 'damai']",1,positif,pj gubernur jatim optimistis pilih kepala daerah serentak aman damai,positif,69.87%,positif,59.22%
"['komunitas', 'cinta', 'kopi', 'dukung', 'pilih', 'kepala', 'daerah', 'jatim', 'aman', 'damai', 'president', 'putin', 'zita', 'anjani', 'agus', 'cat', 'jaemin', 'at', 'gucci', 'exhibition', 'raffi', 'ahmad', 't']",3,positif,komunitas cinta kopi dukung pilih kepala daerah jatim aman damai president putin zita anjani agus cat jaemin at gucci exhibition raffi ahmad t,positif,72.46%,positif,58.21%
"['komunitas', 'cinta', 'kopi', 'dukung', 'pilih', 'kepala', 'daerah', 'jatim', 'aman', 'damai', 'president', 'putin', 'zita', 'anjani', 'agus', 'cat', 'jaemin', 'at', 'gucci', 'exhibition', 'raffi', 'ahmad', 't']",3,positif,komunitas cinta kopi dukung pilih kepala daerah jatim aman damai president putin zita anjani agus cat jaemin at gucci exhibition raffi ahmad t,positif,72.46%,positif,58.21%
"['komunitas', 'cinta', 'kopi', 'dukung', 'pilih', 'kepala', 'daerah', 'jatim', 'aman', 'damai']",3,positif,komunitas cinta kopi dukung pilih kepala daerah jatim aman damai,positif,71.16%,positif,61.47%
"['komunitas', 'cinta', 'kopi', 'dukung', 'pilih', 'kepala', 'daerah', 'jatim', 'aman', 'damai']",3,positif,komunitas cinta kopi dukung pilih kepala daerah jatim aman damai,positif,71.16%,positif,61.47%
"['jajar', 'polda', 'jatim', 'gelar', 'sarasehan', 'media', 'sukses', 'pilih', 'kepala', 'daerah', 'serentak']",6,positif,jajar polda jatim gelar sarasehan media sukses pilih kepala daerah serentak,positif,77.25%,positif,61.72%
"['elektabilitas', 'khofifah', 'survei', 'pilih', 'kepala', 'daerah', 'jatim', 'amat', 'vs', 'tonton', 'cagub', 'unggul', 'debat', 'tribunkaltim']",1,positif,elektabilitas khofifah survei pilih kepala daerah jatim amat vs tonton cagub unggul debat tribunkaltim,positif,59.65%,positif,50.33%
"['mana', 'kirab', 'gelar', 'sosialisasi', 'pilih', 'kepala', 'daerah', 'serentak', 'masyarakat', 'harap', 'tingkat', 'partisipasi', 'pilih']",5,positif,mana kirab gelar sosialisasi pilih kepala daerah serentak masyarakat harap tingkat partisipasi pilih,positif,77.86%,positif,68.66%
"['anggota', 'kpu', 'jatim', 'nur', 'salam', 'rapat', 'gelar', 'koordinasi', 'jalur', 'representatif', 'rekomendasi', 'laksana', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak']",-5,negatif,anggota kpu jatim nur salam rapat gelar koordinasi jalur representatif rekomendasi laksana kirab maskot pilih kepala daerah serentak,negatif,68.80%,negatif,49.87%
"['komisi', 'pilih', 'provinsi', 'jawa', 'timur', 'kpu', 'jatim', 'gelar', 'rapat', 'koordinasi', 'rapat', 'koordinasi', 'siap', 'puncak', 'kirab', 'maskot', 'pilih', 'kepala', 'daerah', 'serentak', 'sejawa', 'timur']",0,netral,komisi pilih provinsi jawa timur kpu jatim gelar rapat koordinasi rapat koordinasi siap puncak kirab maskot pilih kepala daerah serentak sejawa timur,positif,88.93%,positif,58.20%
"['pj', 'gubernur', 'jawa', 'timur', 'adhy', 'karyono', 'kesiap', 'forkopimda', 'provinsi', 'kabupaten', 'kota', 'selenggara', 'pilih', 'kepala', 'daerah', 'serentak', 'damai']",3,positif,pj gubernur jawa timur adhy karyono kesiap forkopimda provinsi kabupaten kota selenggara pilih kepala daerah serentak damai,positif,74.25%,positif,58.16%
"['rangka', 'wujud', 'pilih', 'kepala', 'daerah', 'serentak', 'aman', 'damai', 'demokratis', 'rapat', 'koordinasi', 'laksana', 'hotel', 'the', 'westin', 'surabaya', 'jalan', 'raya', 'lontar', 'nomor', 'sambikerep', 'surabaya', 'rabu', 'oktober']",3,positif,rangka wujud pilih kepala daerah serentak aman damai demokratis rapat koordinasi laksana hotel the westin surabaya jalan raya lontar nomor sambikerep surabaya rabu oktober,positif,85.78%,positif,64.58%
"['tantang', 'demokrasi', 'digital', 'pilih', 'kepala', 'daerah', 'jawa', 'timur', 'media', 'sosial', 'mudah', 'akses', 'informasi', 'ancam', 'disinformasi', 'isu', 'bohong', 'tingkat', 'mari', 'tingkat', 'literasi', 'digital', 'waspada', 'informasi', 'palsu', 'divisihumaspolri']",-4,negatif,tantang demokrasi digital pilih kepala daerah jawa timur media sosial mudah akses informasi ancam disinformasi isu bohong tingkat mari tingkat literasi digital waspada informasi palsu divisihumaspolri,positif,52.76%,positif,37.04%
"['ahli', 'kampanye', 'teriak', 'obral', 'janji', 'bu', 'risma', 'cenderung', 'suka', 'blusukan', 'belanja', 'tampung', 'aspirasi', 'masyarakat', 'cari', 'solusi', 'pilih', 'pilih', 'kepala', 'daerah', 'jatim']",-7,negatif,ahli kampanye teriak obral janji bu risma cenderung suka blusukan belanja tampung aspirasi masyarakat cari solusi pilih pilih kepala daerah jatim,negatif,54.81%,negatif,58.59%
"['debat', 'pilih', 'kepala', 'daerah', 'jatim', 'khofifah', 'risma', 'luluk', 'nur', 'hamidah', 'isu', 'miskin', 'birokrasi', 'bersih']",-5,negatif,debat pilih kepala daerah jatim khofifah risma luluk nur hamidah isu miskin birokrasi bersih,negatif,66.43%,negatif,53.79%
"['bojonegoro', 'komisi', 'pilih', 'kpu', 'kabupaten', 'bojonegoro', 'henti', 'jalan', 'debat', 'perdana', 'pilih', 'kepala', 'daerah', 'pilih', 'kepala', 'daerah', 'bojonegoro', 'kondusif']",-4,negatif,bojonegoro komisi pilih kpu kabupaten bojonegoro henti jalan debat perdana pilih kepala daerah pilih kepala daerah bojonegoro kondusif,positif,55.83%,negatif,48.77%
